Rank,Task,Model,Params,Preprocess,Deriv,Window,Poly,LVs,n_vars,full_vars,SubsetTag,RMSE,R2,CompositeScore,top_vars
130,regression,PLS,{'n_components': 6},snv_deriv,1,7,2,6,100,500,top100,23.998685466674868,-0.2922387954615249,-0.15641947775312987,N/A
131,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv,,,,,50,500,top50,24.957536776206677,-0.3890349392753683,-0.10836606726826717,N/A
132,regression,PLS,{'n_components': 16},raw,,,,16,100,500,top100,24.31299249688519,-0.3379933869093521,-0.08357124109477054,N/A
133,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv,,,,,50,500,top50,25.220028601155253,-0.42468384023649003,-0.08178029167654821,N/A
134,regression,PLS,{'n_components': 8},snv_deriv,1,7,2,8,50,500,top50,25.136851061367057,-0.41496117406888994,-0.05768446457279297,N/A
135,regression,PLS,{'n_components': 10},deriv,1,7,2,10,50,500,top50,25.11836759931906,-0.40236295868311805,-0.054891563755424255,N/A
136,regression,PLS,{'n_components': 20},raw,,,,20,100,500,top100,24.529820022173723,-0.36471988205878664,-0.046509923348235754,N/A
137,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",snv,,,,,500,500,full,25.248796973934905,-0.43425816062088324,-0.028950346177645386,N/A
138,regression,PLS,{'n_components': 24},raw,,,,24,100,500,top100,24.567534165680865,-0.3701788183199446,-0.026578738904226074,N/A
139,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",snv,,,,,500,500,full,25.35882561056452,-0.4498924306477041,-0.017577842103487368,N/A
140,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",snv,,,,,50,500,top50,26.180770698533184,-0.5709644425841808,0.02075017162071752,N/A
141,regression,PLS,{'n_components': 8},deriv,1,7,2,8,100,500,top100,25.78385748845747,-0.5061411667405354,0.022951274404144198,N/A
142,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",snv,,,,,500,500,full,26.12204359789547,-0.5294339430980587,0.05175168891342394,N/A
143,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",snv,,,,,500,500,full,26.492215966486196,-0.5760958348323492,0.08804979494354814,N/A
144,regression,PLS,{'n_components': 6},raw,,,,6,50,500,top50,26.82588614963132,-0.6439803082084066,0.1052632369904872,N/A
145,regression,PLS,{'n_components': 12},snv,,,,12,100,500,top100,27.08887343342239,-0.6427069382201277,0.15768163456725742,N/A
146,regression,PLS,{'n_components': 6},snv,,,,6,50,500,top50,27.28073184509405,-0.7551452069186122,0.1676600397588384,N/A
147,regression,PLS,{'n_components': 10},deriv,1,7,2,10,100,500,top100,27.173088912286474,-0.7056797161092879,0.17524862766368215,N/A
148,regression,PLS,{'n_components': 12},deriv,1,7,2,12,50,500,top50,27.71050737352127,-0.7195223844883615,0.2041157859314091,N/A
149,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",deriv,1,7,2,,500,500,full,28.50724953479239,-0.9006427184500808,0.3089597739397625,N/A
150,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",deriv,1,7,2,,500,500,full,28.81452539844552,-0.9280983454349556,0.3353619919629323,N/A
151,regression,PLS,{'n_components': 10},snv_deriv,1,7,2,10,50,500,top50,29.197336128843073,-0.9219402105153521,0.34686795951153215,N/A
152,regression,PLS,{'n_components': 12},deriv,1,7,2,12,100,500,top100,29.790685198388957,-1.0123449088753094,0.4322219649243805,N/A
